en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Powder and solvent for implantation paste	Прах и разтворител за паста за имплантиране	Prášek a rozpouštědlo pro implantační pastu	Pulver og solvens til pasta til implantation	Pulver und Dispersionsmittel zur Herstellung einer Paste für Implantate	Κόνις και διαλύτης για φύραμα εμφύτευσης	Polvo y disolvente para pasta para implantación	Implantatsioonipasta pulber ja lahusti	Jauhe ja liuotin implantaattipastaa varten	Poudre et solvant pour pâte pour implantation	Púdar agus tuaslagóir le haghaidh taos ionphlandaithe	Prašak i otapalo za implantacijsku pastu	Por és oldószer implantációs pasztához	Duft og leysir fyrir vefjapasta	Polvere e solvente per pasta per impianto	Имплантаттық паста дайындауға арналған ұнтақ және еріткіш	Milteliai ir tirpiklis implantuojamajai pastai	Pulveris un šķīdinātājs implantācijas pastas pagatavošanai	 - 	Trab u solvent għall-pejst għall-impjant	Poeder en oplosmiddel voor pasta voor implantatie	Pulver og væske til pasta til implantasjon	Proszek i rozpuszczalnik do sporządzania pasty do implantacji	Pó e solvente para pasta para implantação	 - 	Порошок и растворитель для приготовления пасты для имплантации	Prášok a vehikulum na implantačnú pastu	Prašek in vehikel za pasto za implantacijo	Pluhur dhe tretës për pastë për implantim	Prašak i rastvarač za pastu za implantaciju	Pulver och vätska till pasta för implantation	Ekit patı için toz ve çözücü	 - 	植入糊剂用粉与溶剂	 - 
Endotracheopulmonary instillation, powder and solvent for solution	Прах и разтворител за разтвор за ендотрахеопулмонално инстилиране	Endotracheopulmonální instilace, prášek a rozpouštědlo pro roztok	Endotracheopulmonal instillationsvæske, pulver og solvens til opløsning	Pulver und Lösungsmittel zur Herstellung einer Lösung zur endotracheopulmonalen Instillation	Ενδοτραχειοπνευμοική ενστάλλαξη, κόνις και διαλύτης για διάλυμα	Polvo y disolvente para solución para instilación endotraqueopulmonar	Endotrahheopulmonaalse instillatsioonilahuse pulber ja lahusti	Instillaationeste hengitysteihin, jauhe ja liuotin liuosta varten	Poudre et solvant pour solution pour instillation endotrachéobronchique	Insileadh iontraicéascamhógach, púdar agus tuaslagóir le haghaidh tuaslagáin	Prašak i otapalo za otopinu za endotraheopulmonalno ukapavanje	Por és oldószer endotracheopulmonális csepegtető oldathoz	Duft og leysir fyrir lausn til íkomu í barka og lungu	Polvere e solvente per soluzione per instillazione endotracheobronchiale	Кеңірдек-өкпе ішілік инстиляция, ерітіндіге арналған ұнтақ және еріткіш	Į trachėją ir (ar) bronchus lašinamas tirpalas (milteliai ir tirpiklis tirpalui)	Endotraheopulmonārā instilācija, pulveris un šķīdinātājs šķīduma pagatavošanai	Прашок и вехикулум за раствор за ендотрахеопулмонална инстилациjа	Instillazzjoni endotrakeopulmonari, trab u solvent għal soluzzjoni	Endotracheopulmonaire instillatie, poeder en oplosmiddel voor oplossing	Pulver og væske til endotrakeopulmonal instillasjonsvæske, oppløsning	Proszek i rozpuszczalnik do sporządzania roztworu do wprowadzania do tchawicy	Pó e solvente para solução para instilação endotraqueobrônquica	Pulbere şi solvent pentru soluţie destinată instilaţiei endotraheopulmonare	Порошок и растворитель для приготовления раствора для эндотрахеопульмонарной инстилляции	Prášok a rozpúšťadlo na endotracheopulmonálne roztokové kvapky	Prašek in vehikel za raztopino za endotraheopulmonalno vkapavanje	Pluhur dhe tretës për tretësirë për shpëlarje endotrakeopulmonare	Prašak i rastvarač za rastvor za endotraheopulmonalno ukapavanje	Instillationsvätska för luftvägarna, pulver och vätska till lösning	Endotrakeopulmoner damlatma tozu ve çözücüsü	 - 	支气管滴注液用粉与溶剂	 - 
Endotracheopulmonary instillation, powder and solvent for suspension	Прах и разтворител за суспензия за ендотрахеопулмонално инстилиране	Endotracheopulmonální instilace, prášek a rozpouštědlo pro suspenzi	Endotracheopulmonal instillationsvæske, pulver og solvens til suspension	Pulver und Lösungsmittel zur Herstellung einer Suspension zur endotracheopulmonalen Instillation	Ενδοτραχειοπνευμονική ενστάλαξη, κόνις και διαλύτης για εναιώρημα	Polvo y disolvente para suspensión para instilación endotraqueopulmonar	Endotrahheopulmonaalse instillatsioonisuspensiooni pulber ja lahusti	Instillaationeste hengitysteihin, jauhe ja liuotin suspensiota varten	Poudre et solvant pour suspension pour instillation endotrachéobronchique	Insileadh iontraicéascamhógach, púdar agus tuaslagóir le haghaidh fuaidreáin	Prašak i otapalo za suspenziju za endotraheopulmonalno ukapavanje	 - 	Duft og leysir fyrir dreifu til íkomu í barka og lungu	Polvere e solvente per sospensione per instillazione endotracheobronchiale	Кеңірдек-өкпе ішілік инстилляция, суспензия дайындауға арналған ұнтақ және еріткіш	Į trachėją ir (ar) bronchus lašinama suspensija (milteliai ir tirpiklis suspensijai)	Endotraheopulmonārā instilācija, pulveris un šķīdinātājs suspensijas pagatavošanai	 - 	 - 	Endotracheopulmonaire instillatie, poeder en oplosmiddel voor suspensie	Pulver og væske til endotrakeopulmonal instillasjonsvæske, suspensjon	Proszek i rozpuszczalnik do sporządzania zawiesiny do wprowadzania do tchawicy	Pó e veículo para suspensão para instilação endotraqueobrônquica	 - 	Порошок и растворитель для приготовления суспензии для эндотрахеопульмонарной инстилляции	Prášok a vehikulum na endotracheopulmonálne suspenzné kvapky	Prašek in vehikel za  suspenzijo za endotraheopulmonalno vkapavanje	 - 	Prašak i rastvarač za suspenziju za endotraheopulmonalno ukapavanje	Instillationsvätska för luftvägarna, pulver och vätska till suspension	Trake-akciğeriçi süspansiyonluk için damlatma, toz ve çözücü	 - 	 - 	 - 
Powder and solvent for endocervical gel	Прах и разтворител за ендоцервикален гел	Prášek a rozpouštědlo pro endocervikální gel	Pulver og solvens til endocervikalgel	Pulver und Lösungsmittel zur Herstellung eines Gels zur endozervikalen Anwendung	Κόνις και διαλύτης για ενδοτραχηλική γέλη	Polvo y disolvente para gel endocervical	Endotservikaalgeeli pulber ja lahusti	Jauhe ja liuotin endoservikaaligeeliä varten	Poudre et solvant pour gel endocervical	Púdar agus tuaslagóir le haghaidh glóthach incheirbheacsach	Prašak i otapalo za endocervikalni gel	Por és oldószer endocervikális gélhez	Duft og leysir fyrir leghálshlaup	Polvere e solvente per gel endocervicale	Эндоцервикальдік гельге арналған ұнтақ және еріткіш	Milteliai ir tirpiklis gimdos kaklelio kanalo geliui	Pulveris un šķīdinātājs endocervikālā gela pagatavošanai	Прашок и вехикулум за ендоцервикален гел	Trab u solvent għal ġell endoċervikali	Poeder en oplosmiddel voor gel voor endocervicaal gebruik	Pulver og væske til endocervikalgel	Proszek i rozpuszczalnik do sporządzania żelu do szyjki macicy	Pó e solvente para gel endocervical	Pulbere şi solvent pentru gel endocervical	Порошок и растворитель для приготовления геля эндоцервикального	Prášok a vehikulum na endocervikálny gél	Prašek in vehikel za endocervikalni gel	Pluhur dhe tretës për xhel endocervikal	Prašak i rastvarač za endocervikalni gel	Pulver och vätska till endocervikalgel	Boyuniçi jel için toz ve çözücü	 - 	子宫颈凝胶用粉与溶剂	 - 
Powder and solvent for sealant	Прах и разтворител за тъканно лепило	Prášek a rozpouštědlo pro tkáňové lepidlo	Pulver og solvens til vævsklæber	Pulver und Lösungsmittel für einen Gewebekleber	Κόνις και διαλύτης για παρασκευή συγκολλητικού ιστών	Polvo y disolvente para adhesivo tisular	Koeliimi pulber ja lahusti	Kuiva-aine ja liuotin kudosliimaa varten	Poudre et solvant pour colle	Púdar agus tuaslagóir le haghaidh séaltáin	Prašak i otapalo za tkivno ljepilo	Por és oldószer szövetragasztóhoz	Vefjalímsduft og leysir	Polvere e solvente per adesivo tissutale	Пломбалық материалға арналған ұнтақ және еріткіш	Milteliai ir tirpiklis audinių klijams	Pulveris un šķīdinātājs sīlanta pagatavošanai	Прашок и вехикулум за ткивно лепило	Trab u solvent għas-siġillant	Poeder en oplosmiddel voor weefsellijm	Pulver  og væske til vevslim	Proszek i rozpuszczalnik do sporządzania kleju do tkanek	Pó e solvente para cola para tecidos	Pulbere şi solvent pentru plasture	Порошок и растворитель для приготовления клея	Prášok a vehikulum na tkanivové lepidlo	Prašek in vehikel za lepilo za tkiva	Pluhur dhe tretës pë ngjitjen e indeve	Prašak i rastvarač za lepak za tkivo	Pulver och vätska till vävnadslim	Doku yapıştırıcı toz ve çözücüsü	Клей для тканин, порошок та розчинник	封闭剂用粉与溶剂	 - 
Powder for concentrate and solution for solution for infusion	Прах за концентрат и разтвор за инфузионен разтвор	Prášek pro koncentrát a roztok pro infuzní roztok	Pulver til koncentrat og opløsning til infusionsvæske, opløsning	Pulver zur Herstellung eines Konzentrats und Lösung zur Herstellung einer Infusionslösung	Κόνις για πυκνό σκεύασμα και διάλυμα για παρασκευή διαλύματος προς έγχυση	Polvo para concentrado y solución para solución para perfusión	Infusioonilahuse kontsentraadi pulber ja lahus	kuiva-aine välikonsentraatiksi ja liuos infuusionestettä varten, liuos	Poudre pour solution à diluer et solution pour solution pour perfusion	Púdar le haghaidh tiúcháin agus tuaslagán le haghaidh tuaslagáin le haghaidh iondoirte	Prašak za koncentrat i otopina za otopinu za infuziju	 - 	Stofn fyrir innrennslisþykkni, lausn og lausn fyrir innrennslislyf, lausn	Polvere per concentrato e soluzione per soluzione per infusione	 - 	Milteliai koncentratui ir tirpalas infuziniam tirpalui	Pulveris koncentrātam un šķīdums infūziju šķīduma pagatavošanai	 - 	 - 	Poeder voor concentraat en oplossing voor oplossing voor infusie	Pulver til konsentrat og oppløsning til infusjonsvæske, oppløsning	Proszek do koncentratu i roztwór, do sporządzania roztworu do infuzji	Pó para concentrado e solução para solução para perfusão	 - 	Порошок для приготовления концентрата и раствор для приготовления раствора для инфузий	Prášok na infúzny koncentrát a roztok na prípravu infúzneho roztoku	Prašek za koncentrat in raztopina za pripravo raztopine za infundiranje	 - 	Prašak za koncentrat i rastvor za rastvor za infuziju	Pulver till koncentrat och lösning till infusionsvätska, lösning	İnfüzyonluk çözelti için derişiklik toz ve çözelti	 - 	 - 	 - 
Effervescent powder and powder for oral suspension	Ефервесцентен прах и прах за перорална суспензия	Šumivý prášek a prášek pro perorální suspenzi	Brusepulver og pulver til oral suspension	Brausepulver und Pulver zur Herstellung einer Suspension zum Einnehmen	Αναβράζουσα κόνις και κόνις για παρασκευή πόσιμου εναιωρήματος	Polvo efervescente y polvo para suspensión oral	Suukaudse suspensiooni kihisev pulber ja pulber	Porejauhe ja jauhe oraalisuspensiota varten	Poudre effervescente et poudre pour suspension buvable	Púdar broidearnúil agus púdar le haghaidh fuaidreán béil	Šumeći prašak i prašak za oralnu suspenziju	 - 	Freyðiduft og duft fyrir mixtúru, dreifa	Polvere effervescente e polvere per sospensione orale	 - 	Šnypštieji milteliai ir milteliai geriamajai suspensijai	Putojošais pulveris un pulveris iekšķīgi lietojamas suspensijas pagatavošanai	 - 	 - 	Bruispoeder en poeder voor suspensie voor oraal gebruik	Brusepulver og pulver til mikstur, suspensjon	Proszek musujący i proszek do sporządzania zawiesiny doustnej	Pó efervescente e pó para suspensão oral	 - 	Порошок шипучий и порошок для приготовления суспензии для приема внутрь	Šumivý prášok a prášok na perorálnu suspenziu	Šumeči prašek in prašek za peroralno suspenzijo	 - 	Šumeći prašak i prašak za oralnu suspenziju	Bruspulver och pulver till oral suspension	 - 	 - 	 - 	 - 
Powder and solution for suspension for injection	Прах и разтвор за инжекционна суспензия	Prášek a roztok pro injekční suspenzi	 - 	Pulver und Lösung zur Herstellung einer Injektionssuspension	Κόνις και διάλυμα για παρασκευή ενεσίμου εναιωρήματος	Polvo y solución para suspensión inyectable	Süstesuspensiooni pulber ja lahus	Injektiokuiva-aine ja liuos, suspensiota varten	Poudre et solution pour suspension injectable	Púdar agus tuaslagán le haghaidh fuaidreáin le haghaidh insteallta	Prašak i otopina za suspenziju za injekciju	 - 	Stungulyfsstofn og lausn fyrir stungulyf, dreifa	Polvere e soluzione per sospensione iniettabile	 - 	Milteliai ir tirpalas injekcinei suspensijai	Pulveris un šķīdums injekciju suspensijas pagatavošanai	 - 	 - 	Poeder en oplossing voor suspensie voor injectie	Pulver og væske til injeksjonsvæske, suspensjon	Proszek i roztwór do sporządzania zawiesiny do wstrzykiwań	Pó e solução para suspensão injetável	 - 	Порошок и раствор для приготовления суспензии для инъекций	Prášok a roztok na injekčnú suspenziu	Prašek in raztopina za suspenzijo za injiciranje	 - 	Prašak i rastvor za suspenziju za injekciju	Pulver och lösning till infusionsvätska, suspension	 - 	 - 	 - 	 - 
Concentrate and solvent for dispersion for injection	Концентрат и разтворител за инжекционна дисперсия	Koncentrát a rozpouštědlo pro injekční disperzi	 - 	Konzentrat und Lösungsmittel zur Herstellung einer Injektionsdispersion	Πυκνό σκεύασμα  και διαλύτης για παρασκευή ενέσιμης διασποράς	Concentrado y disolvente para dispersión inyectable	Süstedispersiooni kontsentraat ja lahusti	Injektiokonsentraatti ja liuotin, dispersiota varten	Dispersion à diluer et solvant pour dispersion injectable	Tiúchán agus tuaslagóir le haghaidh easraithe le haghaidh insteallta	Koncentrat i otapalo za disperziju za injekciju	 - 	Stungulyfssþykkni og leysir, ördreifa	Concentrato e solvente per dispersione iniettabile	 - 	Koncentratas ir tirpiklis injekcinei dispersijai	Koncentrāts un šķīdinātājs injekciju dispersijas pagatavošanai	 - 	 - 	Concentraat en oplosmiddel voor dispersie voor injectie	Konsentrat og væske til injeksjonsvæske, dispersjon	Koncentrat i rozpuszczalnik do sporządzania dyspersji do wstrzykiwań	Concentrado e veículo para dispersão injetável	 - 	Концентрат и растворитель для приготовления дисперсии для инъекций	Koncentrát a vehikulum na injekčnú disperziu	Koncentrat in vehikel za disperzijo za injiciranje	 - 	Koncentrat i rastvarač za disperziju za injekciju	Koncentrat och vätska till injektionsvätska, dispersion	 - 	 - 	 - 	 - 
Concentrate and solvent for intravesical solution	Концентрат и разтворител за интравезикален разтвор	Koncentrát a rozpouštědlo pro intravezikální roztok	 - 	Konzentrat  und Lösungsmittel zur Herstellung einer Lösung zur intravesikalen Anwendung	Πυκνό σκεύασμα  και  διαλύτης για παρασκευή ενδοκυστικού διαλύματος	Concentrado y disolvente para solución intravesical	Intravesikaallahuse kontsentraat ja lahusti	Konsentraatti ja liuotin liuosta varten, virtsarakkoon	Solution à diluer et solvant pour solution intravésicale	Tiúchán agus tuaslagóir le haghaidh tuaslagán ionlamhnánach	Koncentrat i otapalo za intravezikalnu otopinu	 - 	Þykkni og leysir fyrir þvagblöðrulausn	Concentrato e solvente per soluzione endovescicale	 - 	Koncentratas ir tirpiklis šlapimo pūslės tirpalui	Koncentrāts un šķīdinātājs intravezikāli lietojama šķīduma pagatavošanai	 - 	 - 	Concentraat en oplosmiddel voor oplossing voor intravesicaal gebruik	Konsentrat og væske til intravesikal oppløsning	Koncentrat i rozpuszczalnik do sporządzania roztworu do pęcherza moczowego	Concentrado e solvente para solução intravesical	 - 	Концентрат и растворитель для приготовления раствора интравезикального	Koncentrát a rozpúšťadlo na intravezikálny roztok	Koncentrat in vehikel za intravezikalno raztopino	 - 	Koncentrat i rastvarač za intravezikalni rastvor	Koncentrat och vätska till intravesikal lösning	 - 	 - 	 - 	 - 
Effervescent powder and suspension for oral suspension	Ефервесцентен прах и суспензия за перорална суспензия	Šumivý prášek a suspenze pro perorální suspenzi	Brusepulver og suspension til oral suspension	Brausepulver und Suspension zur Herstellung einer Suspension zum Einnehmen	Αναβράζουσα κόνις και εναιώρημα για παρασκευή πόσιμου εναιωρήματος	Polvo efervescente y suspensión para suspensión oral	Suukaudse suspensiooni kihisev pulber ja suspensioon	Porejauhe ja suspensio oraalisuspensiota varten	Poudre effervescente et suspension pour suspension buvable	Púdar broidearnúil agus fuaidreán le haghaidh fuaidreán béil	Šumeći prašak i suspenzija za oralnu suspenziju	 - 	Freyðiduft og dreifa fyrir mixtúru, dreifa	Polvere effervescente e sospensione per sospensione orale	 - 	Šnypštieji milteliai ir suspensija geriamajai suspensijai	Putojošais pulveris un suspensija iekšķīgi lietojamas suspensijas pagatavošanai	 - 	 - 	Bruispoeder en suspensie voor suspensie voor oraal gebruik	Brusepulver og suspensjon til mikstur, suspensjon	Proszek musujący i zawiesina do sporządzania zawiesiny doustnej	Pó efervescente e suspensão para suspensão oral	 - 	Порошок шипучий и суспензия для приготовления суспензии для приема внутрь	Šumivý prášok a suspenzia na perorálnu suspenziu	Šumeči prašek in suspenzija za peroralno suspenzijo	 - 	Šumeći prašak i suspenzija za oralnu suspenziju	Bruspulver och suspension till oral suspension	 - 	 - 	 - 	 - 
Concentrate and solvent for emulsion for injection	Концентрат и разтворител за инжекционна емулсия	Koncentrát a rozpouštědlo pro injekční emulzi	Koncentrat og solvens til injektionsvæske, emulsion	Konzentrat und Lösungsmittel zur Herstellung einer Emulsion zur Injektion	Πυκνό σκεύασμα  και  διαλύτης για παρασκευή ενέσιμου γαλακτώματος	Concentrado y disolvente para emulsión inyectable	Süsteemulsiooni kontsentraat ja lahusti	Injektiokonsentraatti ja liuotin, emulsiota varten	Emulsion à diluer et solvant pour émulsion injectable	Tiúchán agus tuaslagóir le haghaidh eibleachta le haghaidh insteallta	Koncentrat i otapalo za emulziju za injekciju	 - 	Stungulyfsþykkni og leysir, fleyti	Concentrato e solvente per emulsione iniettabile	 - 	Koncentratas ir tirpiklis injekcinei emulsijai	Koncentrāts un šķīdinātājs injekciju emulsijas pagatavošanai	 - 	 - 	Concentraat en oplosmiddel voor emulsie voor injectie	Konsentrat og væske til injeksjonsvæske, emulsjon	Koncentrat i rozpuszczalnik do sporządzania emulsji do wstrzykiwań	Concentrado e veículo para emulsão injetável	 - 	Концентрат и растворитель для приготовления эмульсии для инъекций	Koncentrát a vehikulum na injekčnú emulziu	Koncentrat in vehikel za emulzijo za injiciranje	 - 	Koncentrat i rastvarač za emulziju za injekciju	Koncentrat och vätska till injektionsvätska, emulsion	 - 	 - 	 - 	 - 
Effervescent granules and suspension for oral suspension	Ефервесцентни гранули и суспензия за перорална суспензия	Šumivé granule a suspenze pro perorální suspenzi	 - 	Brausegranulat und Suspension zur Herstellung einer Suspension zum Einnehmen	Αναβράζοντα κοκκία  και εναιώρημα για παρασκευή πόσιμου εναιωρήματος	Granulado efervescente y suspensión para suspensión oral	Suukaudse suspensiooni kihisevad graanulid ja suspensioon	Porerakeet ja suspensio oraalisuspensiota varten	Granulés effervescents et suspension pour suspension buvable	Gráinníní broidearnúla agus fuaidreán le haghaidh fuaidreán béil	 - 	 - 	Freyðikyrni og dreifa fyrir mixtúru, dreifa	Granulato effervescente e sospensione per sospensione orale	 - 	Šnypščiosios granulės ir suspensija geriamajai suspensijai	Putojošās granulas un suspensija iekšķīgi lietojamas suspensijas pagatavošanai	 - 	 - 	Bruisgranulaat en suspensie voor suspensie voor oraal gebruik	Brusegranulat og suspensjon til mikstur, suspensjon	Granulat musujący i zawiesina do sporządzania zawiesiny doustnej	Granulado efervesvente e suspensão para suspensão oral	 - 	Гранулы шипучие и суспензия для приготовления суспензии для приема внутрь	Šumivý granulát a suspenzia na perorálnu suspenziu	Šumeča zrnca in suspenzija za peroralno suspenzijo	 - 	Šumeće granule i suspenzija za oralnu suspenziju	Brusgranulat och suspension till oral suspension	 - 	 - 	 - 	 - 
Concentrate and solvent for oral solution	Концентрат и разтворител за перорален разтвор	Koncentrát a rozpouštědlo pro perorální roztok	 - 	Konzentrat und Lösungsmittel zur Herstellung einer Lösung zum Einnehmen	Πυκνό σκεύασμα  και διαλύτης για παρασκευή πόσιμου διαλύματος	Concentrado y disolvente para solución oral	Suukaudse lahuse kontsentraat ja lahusti	Konsentraatti ja liuotin oraaliliuosta varten	Solution à diluer et solvant pour solution buvable	Tiúchán agus tuaslagóir le haghaidh tuaslagán béil	 - 	 - 	Þykkni og leysir fyrir mixtúru, lausn	Concentrato e solvente per soluzione orale	 - 	Koncentratas ir tirpiklis geriamajam tirpalui	Koncentrāts un šķīdinātājs iekšķīgi lietojama šķīduma pagatavošanai	 - 	 - 	Concentraat en oplosmiddel voor drank	Konsentrat og væske til mikstur, oppløsning	Koncentrat i rozpuszczalnik do sporządzania roztworu doustnego	Concentrado e solvente para solução oral	 - 	Концентрат и растворитель для приготовления раствора для приема внутрь	Koncentrát a rozpúšťadlo na perorálny roztok	Koncentrat in vehikel za peroralno raztopino	 - 	Koncentrat i rastvarač za oralni rastvor	Koncentrat och vätska till oral lösning	 - 	 - 	 - 	 - 
Suspension and gel for gel	Суспензия и гел за гел	Suspenze a gel pro přípravu gelu	 - 	Suspension und Gel zur Herstellung eines Gels	Εναιώρημα και γέλη για παρασκευή γέλης	Suspensión y gel para gel	Geeli suspensioon ja geel	Suspensio ja geeli geeliä varten	Suspension et gel pour gel	 - 	 - 	 - 	Dreifa og hlaup fyrir hlaup	 - 	 - 	Suspensija ir gelis geliui	 - 	 - 	 - 	Suspensie en gel voor gel	Suspensjon og gel til gel	Zawiesina i podłoże żelowe do sporządzania żelu	Suspensão e gel para gel	 - 	Суспензия и гель для приготовления геля	 - 	Suspenzija in gel za pripravo gela	 - 	Suspenzija i gel za gel	Suspension och gel till gel	 - 	 - 	 - 	 - 
Dispersion, powder and solvent for concentrate for dispersion for infusion	Дисперсия, прах и разтворител за концентрат за инфузионна дисперсия	Disperze, prášek a rozpouštědlo koncentrátu pro infuzní disperzi	 - 	Dispersion, Pulver und Lösungsmittel für ein Konzentrat zur Herstellung einer Infusionsdispersion	Διασπορά, κόνις και διαλύτης για πυκνό σκεύασμα για παρασκευή διασποράς προς έγχυση	Dispersión, polvo y disolvente para concentrado para dispersión para perfusión	Infusioonidispersiooni kontsentraadi dispersioon, pulber ja lahusti	Dispersio, jauhe ja liuotin välikonsentraatiksi infuusionestettä varten, dispersio	Dispersion, poudre et solvant pour dispersion à diluer pour dispersion pour perfusion	 - 	 - 	 - 	Ördreifa, stofn og leysir fyrir innrennslisþykkni, ördreifa	 - 	 - 	Dispersija, milteliai ir tirpiklis infuzinės dispersijos koncentratui	 - 	 - 	 - 	 - 	Dispersjon, pulver og væske til konsentrat til dispersjon til infusjon	Dyspersja, proszek i rozpuszczalnik do koncentratu do sporządzania dyspersji do infuzji	Dispersão, pó e veículo para concentrado para dispersão para perfusão	 - 	 - 	 - 	Disperzija, prašek in vehikel za koncentrat za disperzijo za infundiranje	 - 	Disperzija, prašak i rastvarač za koncentrat za disperziju za infuziju	Dispersion, pulver och vätska till koncentrat till infusionsvätska, dispersion	 - 	 - 	 - 	 - 
Powder and effervescent powder for oral suspension	Прах и ефервесцентен прах за перорална суспензия	Prášek a šumivý prášek pro perorální suspenzi	 - 	Pulver und Brausepulver zur Herstellung einer Suspension zum Einnehmen	Κόνις και αναβράζουσα κόνις για παρασκευή πόσιμου εναιωρήματος	Polvo y polvo efervescente para suspensión oral	Suukaudse suspensiooni pulber ja kihisev pulber	Jauhe ja porejauhe oraalisuspensiota varten	Poudre et poudre effervescente pour suspension buvable	 - 	 - 	 - 	Duft og freyðiduft fyrir mixtúru, dreifa	 - 	 - 	Milteliai ir šnypštieji milteliai geriamajai suspensijai	 - 	 - 	 - 	Poeder en bruispoeder voor suspensie voor oraal gebruik	Pulver og brusepulver til mikstur, suspensjon	Proszek i proszek musujący do sporządzenia zawiesiny doustnej	Pó e pó efervescente para suspensão oral	 - 	 - 	 - 	Prašek in šumeči prašek za peroralno suspenzijo	 - 	Prašak i efervescentni prašak za oralnu suspenziju	Pulver och bruspulver till oral suspension	 - 	 - 	 - 	 - 
